Pop. Density,Obesity Rate,Smoking Rate,Diabetes Rate,Elderly Pop %,Vaccine %,% Black,% American Indian,% Asian,% Pacific Islander,% Hispanic,% White,% Limited Access to Healthy Foods,Death Rate
-0.180485,-0.076634,-0.357693,1.048607,-0.78877,-0.564078,0.723672,-0.242554,-0.115936,-0.034009,-0.483514,-0.084285,0.403054,0.015
0.072169,-0.579853,-0.668848,-0.08407,0.256681,0.253228,-0.014835,-0.204747,-0.141173,-0.138785,-0.362019,0.35208,-0.43448,0.015
-0.22637,1.298831,1.014085,3.087425,-0.012084,-0.662221,2.730205,-0.219402,-0.377143,0.138579,-0.388791,-1.505244,0.283406,0.022
-0.229027,0.661421,0.427493,1.904407,-0.643268,-1.36324,0.84798,-0.24808,-0.450884,-0.023276,-0.508144,-0.070343,-0.673776,0.022
-0.178499,-0.076634,0.396351,1.652701,-0.218963,-1.587566,-0.526886,-0.220128,-0.422669,-0.011628,-0.006102,0.539195,-0.673776,0.018
-0.246814,2.204625,0.864183,8.146716,-0.587021,0.017356,4.234448,-0.196203,-0.467558,1.467068,-0.122544,-2.7159,1.360237,0.030
-0.233819,2.238173,0.365618,3.439814,0.2236,-1.055616,2.487185,-0.256035,-0.085004,-0.17678,-0.588792,-1.226977,-0.673776,0.029
-0.101305,1.047222,-0.016295,1.904407,-0.347339,-0.409854,0.829074,-0.234828,-0.204224,-0.03695,-0.415221,-0.19745,0.044111,0.023
-0.214627,1.483345,0.458992,3.112596,0.092721,-1.669215,2.138028,-0.265042,-0.081366,-0.191341,-0.512744,-1.029883,0.163759,0.025
-0.223172,0.82916,0.54138,2.332307,0.789823,-1.639524,-0.332574,-0.219197,-0.416501,-0.224017,-0.580702,0.775644,-1.032719,0.020
-0.196977,1.416249,0.510766,3.011913,-0.552051,-1.185924,0.067948,-0.231426,-0.366032,0.113912,-0.124941,0.204772,-0.913072,0.024
-0.243759,2.305269,0.476645,2.735037,0.801055,0.965794,2.274395,-0.280505,-0.470371,-0.296305,-0.622445,-0.972464,-0.195185,0.030
-0.228198,0.443359,0.727674,4.773855,0.157269,-0.139343,2.471028,-0.236531,-0.383712,-0.247136,-0.599364,-1.164854,0.283406,0.018
-0.242312,0.644647,0.942156,3.213278,0.270196,-0.812322,0.338118,-0.23451,-0.449376,-0.296305,-0.480088,0.223994,-0.793424,0.027
-0.240044,0.091106,0.668091,2.45816,0.088819,-1.836635,-0.428516,-0.2408,-0.456448,-0.123657,-0.518468,0.832019,-0.793424,0.024
-0.185348,0.544003,0.019453,1.828895,-0.52124,-0.25563,0.572924,-0.122226,0.02329,0.63718,-0.149978,-0.305016,-0.314833,0.020
-0.181661,0.594325,0.177274,2.206454,0.058746,-0.203672,0.489734,-0.218919,-0.33116,-0.120193,-0.504515,0.11842,-0.195185,0.022
-0.244448,1.449797,1.088354,5.679997,0.777009,-0.75459,2.564447,-0.238291,-0.459299,-0.219666,-0.542448,-1.274048,0.522702,0.032
-0.245749,1.902694,0.791398,6.284091,0.90533,-0.918712,1.50197,-0.227404,-0.483632,0.098846,-0.515745,-0.526584,0.163759,0.025
-0.207965,0.393037,0.509075,2.156113,0.340048,-1.087781,0.241044,-0.21513,-0.373456,-0.270865,-0.571435,0.355891,-0.554128,0.028
-0.241531,0.309167,0.431543,4.245273,-0.074102,-1.385508,0.99485,-0.223257,-0.151038,-0.194211,-0.530562,-0.250782,1.001293,0.030
-0.140723,0.376263,0.31725,1.954748,-0.201606,-0.995411,-0.544863,-0.221107,-0.303197,-0.093335,-0.377468,0.785508,-0.673776,0.019
-0.190895,1.399475,0.045793,1.803725,-0.513617,-0.295217,0.801154,-0.201083,-0.049894,0.203396,-0.218058,-0.378745,0.283406,0.021
-0.211155,1.466571,0.867533,2.055431,-0.182459,-0.769436,4.270613,-0.267198,-0.333781,-0.191924,-0.617498,-2.42029,0.403054,0.039
-0.158866,-0.529531,0.906637,1.854066,-0.444634,-1.418497,-0.527878,-0.042046,-0.356348,1.209581,0.374849,0.204175,-0.793424,0.021
-0.144799,0.225298,-0.477732,1.703042,-0.869686,-0.432946,0.854559,-0.237533,-0.290592,-0.023412,-0.480123,-0.149515,-0.195185,0.018
-0.20852,0.510455,0.990643,3.162937,-0.310032,-1.27252,1.567138,0.196355,-0.427777,-0.149081,-0.519479,-0.785792,-0.195185,0.021
-0.116356,0.460133,0.439376,2.005089,-0.081923,-0.853558,0.453745,-0.225918,-0.249342,0.433458,-0.40764,0.083159,0.044111,0.026
-0.238185,0.694969,0.725158,4.043908,0.417065,-1.372312,0.199895,-0.24406,-0.382573,-0.296305,-0.56724,0.403754,-0.913072,0.026
-0.216153,0.527229,0.333581,2.080601,-0.545982,-0.643252,-0.357569,-0.104597,-0.415443,0.2887,0.585037,0.008295,-0.554128,0.017
-0.223683,1.315605,0.935164,3.414643,0.184224,-0.909639,0.022265,-0.171924,-0.415153,-0.126461,-0.405623,0.380351,-0.913072,0.029
-0.249719,0.762064,1.315008,4.673173,0.742067,-0.225115,4.938469,-0.262255,-0.440508,-0.296305,-0.577598,-2.898815,1.479884,0.035
-0.240407,1.986564,0.653196,2.785378,-0.01205,0.71755,3.413508,-0.272178,-0.43441,-0.264358,-0.599706,-1.798469,-0.43448,0.028
-0.236401,0.258846,0.431772,2.709866,0.76871,-0.455214,1.177324,-0.240779,-0.405026,-0.24163,-0.504673,-0.331612,-0.793424,0.021
-0.107067,0.845934,0.264126,1.753383,-0.340669,-0.606964,1.253582,-0.234755,-0.171812,-0.073933,-0.449338,-0.480313,-0.314833,0.024
-0.187469,0.359489,0.629227,2.130942,0.15994,-0.202022,-0.390446,-0.087103,-0.33257,-0.037147,-0.484404,0.647319,-0.673776,0.019
0.67425,0.19175,-0.681765,0.419342,-0.721065,0.521265,2.387039,-0.267557,0.069189,-0.162156,-0.410146,-1.304068,0.403054,0.017
-0.241552,0.074332,0.739421,4.471808,0.504814,-0.632531,0.097797,-0.267303,-0.496805,-0.262323,-0.575702,0.49389,-0.913072,0.021
-0.128605,-0.194051,-0.311832,1.400995,0.156285,-0.373566,0.062741,-0.246286,-0.27133,-0.163909,-0.491024,0.426117,-0.43448,0.020
-0.21416,-0.126956,0.706111,4.648002,-0.136545,-0.357896,0.128424,0.446366,-0.45189,-0.246344,-0.536899,0.018637,-0.793424,0.027
-0.024191,-0.445661,-0.483413,0.066953,-1.534017,-0.803249,0.96384,-0.256465,0.890541,-0.083953,-0.426119,-0.42293,0.403054,0.010
-0.112357,-0.076634,-0.23213,1.249971,-0.940558,-0.797476,0.31453,-0.19773,0.009905,0.156172,-0.253726,0.005241,-0.554128,0.014
-0.247847,1.701406,1.192072,2.88606,0.000419,-0.294392,4.402072,-0.256689,-0.381555,-0.20197,-0.572504,-2.521684,0.522702,0.038
-0.235984,2.925906,0.294416,3.137766,0.25055,-0.502224,4.969331,-0.270304,-0.3252,-0.258034,-0.565773,-2.967582,1.599532,0.026
0.286774,0.057558,-1.009404,0.721389,-0.924834,1.063112,1.079928,-0.19991,0.376592,-0.025474,-0.331519,-0.5657,-0.195185,0.014
-0.234681,1.936242,0.440115,2.785378,0.026259,0.113024,2.943002,-0.273471,-0.427971,0.135504,-0.511359,-1.543451,0.522702,0.027
-0.218805,0.795612,0.687925,3.238449,0.366822,-1.236232,-0.364587,-0.249911,-0.420615,-0.146143,-0.511854,0.784021,-0.673776,0.024
-0.121482,0.594325,0.404212,0.872412,-0.509848,-0.397483,-0.461083,-0.159558,-0.282447,0.342487,0.337507,0.219507,-0.43448,0.017
0.325352,0.728517,-0.123744,0.973095,-0.650277,-0.155013,1.870854,-0.183196,0.169172,-0.194542,-0.47693,-0.956007,0.163759,0.019
-0.232406,1.634311,1.009366,4.169761,0.292582,-0.753766,2.235864,-0.130873,-0.371799,-0.195815,-0.581221,-1.093076,0.522702,0.020
0.061431,0.611099,-0.345088,1.552019,-0.871388,0.029726,3.465469,-0.261131,0.550344,-0.072294,-0.443773,-2.11755,0.761998,0.023
-0.089234,0.359489,-0.120202,0.847242,-0.400497,-0.601191,0.256213,-0.162247,-0.29314,0.063182,-0.086898,-0.033367,-0.554128,0.018
-0.248702,2.238173,1.428948,3.892884,0.07674,-0.486554,4.09366,-0.270713,-0.327118,-0.193362,-0.593486,-2.302788,-0.43448,0.028
-0.232754,0.896256,0.55935,3.389472,-0.052416,-0.252331,2.156057,-0.273538,-0.41718,0.494148,-0.354216,-1.097509,-0.913072,0.026
-0.214205,0.812386,0.043639,1.879236,-0.951724,-0.784281,1.980601,-0.213092,0.190781,-0.084632,-0.523996,-1.002081,-0.314833,0.021
-0.228651,0.091106,0.430451,3.464984,0.233129,-1.484475,0.724984,-0.243765,-0.398335,-0.027181,-0.48764,-0.033353,-0.195185,0.020
-0.17796,0.91303,0.240773,3.011913,-1.029927,-0.87665,2.501103,-0.224296,-0.233669,0.363192,-0.291966,-1.488256,-0.314833,0.009
-0.131098,0.544003,0.039479,1.400995,-0.605541,-0.904691,0.023056,-0.258149,-0.229164,-0.118607,-0.516628,0.475514,-0.793424,0.021
0.05501,0.711743,-1.517689,0.167636,-0.79354,-1.133141,0.272416,-0.253642,0.234321,-0.159995,-0.280211,0.075477,-0.554128,0.010
-0.243884,1.617537,0.432519,2.986743,-0.217222,-0.265526,4.365408,-0.287356,0.152641,-0.222166,-0.614719,-2.550559,0.163759,0.029
-0.147569,0.929804,0.64816,2.055431,-0.267968,-1.212315,1.648579,-0.251848,-0.308166,-0.231479,-0.527382,-0.669742,-0.314833,0.021
-0.203992,0.174976,0.627718,1.400995,0.52515,-1.049019,1.243785,-0.249414,-0.321001,-0.156902,-0.527962,-0.358279,-0.554128,0.028
0.040041,0.443359,-0.319338,0.34383,-1.25287,-0.569851,1.598022,-0.261395,0.019582,-0.140923,-0.417118,-0.733018,-0.314833,0.018
-0.170969,0.9969,0.819381,1.451336,-0.044681,-0.386762,-0.205117,-0.232591,-0.325725,-0.041553,-0.512501,0.640174,-0.43448,0.031
-0.23796,-0.261147,0.722636,1.426166,-0.006718,-0.506347,1.002515,0.712079,-0.224789,-0.037785,-0.583571,-0.539825,-0.554128,0.020
-0.246863,2.741392,1.081752,3.464984,0.113611,-0.026355,4.317996,-0.275467,-0.451344,-0.252036,-0.59585,-2.44665,2.556714,0.021
-0.227528,0.359489,0.88376,4.421467,0.442423,-2.398275,-0.573611,-0.192032,-0.406446,0.180905,-0.466928,0.876643,-0.673776,0.023
-0.260064,3.093645,-0.07988,0.520024,-1.928166,1.814439,0.099064,2.242639,14.1648,2.514345,0.365188,-3.34172,3.154953,0.000
-0.259375,1.483345,-0.507297,-1.241918,-2.571833,0.863527,-0.175792,1.219154,13.44033,5.252414,0.301082,-2.617387,0.044111,0.006
-0.179785,-0.546305,-1.03807,-1.015382,-1.676929,1.12909,-0.248152,0.843257,2.889138,6.018834,-0.025855,-0.92653,-0.43448,0.007
-0.255616,0.10788,3.286927,-1.493624,-2.480222,1.31218,-0.565449,10.53685,-0.207315,0.258957,-0.522495,-3.289494,3.992488,0.004
-0.260774,1.567215,0.116643,1.300313,-0.727178,4.082443,-0.57336,3.914903,-0.067296,0.50834,-0.153947,-1.61418,1.120941,0.003
-0.260349,-1.686934,-0.655733,-1.141235,-1.754558,-0.015634,-0.479726,0.380286,1.279726,-0.182063,-0.466192,0.197375,1.71918,0.000
-0.259621,-0.428887,2.129713,-1.040553,-2.02626,0.022304,-0.578828,9.055454,-0.226026,0.268234,-0.426111,-3.01317,2.79601,0.009
-0.23418,-0.412113,-0.933122,-1.3426,-1.789913,0.562501,-0.28645,0.718976,0.652167,0.987114,-0.093131,-0.334772,-0.195185,0.006
-0.260238,-0.730818,-0.810819,-1.31743,0.399159,1.416095,-0.586779,1.04989,-0.174869,-0.296305,-0.464155,0.069228,-0.195185,0.004
-0.260376,-0.512757,0.562818,0.671048,0.892602,1.583515,-0.495873,4.57379,-0.026832,-0.186949,-0.237535,-1.495435,3.633545,0.000
-0.251849,-1.183715,-1.289864,-1.619477,-1.210952,2.019797,-0.544245,1.230049,1.851165,2.75818,-0.206773,-0.582164,-0.314833,0.003
-0.244056,-0.076634,0.032406,-0.688165,-0.291526,-0.217692,-0.583301,0.725214,0.072315,0.451167,-0.390283,0.201803,-0.314833,0.006
-0.256973,0.896256,-0.236506,-0.411288,-0.682709,1.176099,-0.562852,1.509091,2.320698,0.531832,-0.280354,-0.63602,-0.793424,0.007
-0.257403,-0.86501,-0.595865,-1.443283,-1.753295,0.868476,-0.557384,1.3533,7.007355,1.959877,-0.05933,-1.333204,-0.43448,0.004
-0.258608,-1.737256,5.58056,-1.971865,-2.854009,1.287438,-0.600545,11.62926,-0.363709,-0.267975,-0.511585,-3.593276,3.992488,0.003
-0.260534,0.678195,1.857115,-0.159582,-1.72418,1.233006,-0.558672,7.652815,0.536815,0.444793,-0.442831,-2.661918,4.231784,0.000
-0.229214,0.19175,-0.27201,-0.889529,-1.472711,-0.7249,-0.549047,0.583289,0.062341,0.634888,-0.33209,0.145944,-0.075537,0.006
-0.258146,1.147866,3.009458,-1.493624,-2.448632,1.614855,-0.575374,9.461692,-0.016289,0.079754,-0.5166,-3.027641,3.513897,0.001
-0.258177,1.768502,0.957915,-1.74533,-2.561645,-1.006133,-0.527165,6.523988,1.525555,3.849672,-0.387446,-2.231145,0.522702,0.002
-0.258843,1.96979,3.086696,0.545195,-2.59862,0.632603,-0.554421,9.954155,-0.25271,0.25565,-0.424632,-3.228041,3.035306,0.005
-0.260038,-1.334681,-0.325812,-0.814018,0.159842,2.040415,-0.47936,1.117367,0.573848,1.602435,-0.262554,-0.237346,-0.913072,0.011
